name,num_runs,rmse_mean,rmse_median,rmse_min,rmse_max,rmse_last,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
spot_forest_hard_base,10,0.5224080000000001,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408,0.522408
spot_forest_hard_daac_depth_opt_log_mahalanobis_w30,10,0.5714168,0.5603585,0.525554,0.698103,0.566721,0.564855,0.525554,0.544812,0.531726,0.617654,0.561553,0.544026,0.559164,0.698103,0.566721
spot_forest_hard_daac_depth_opt_log_w100,8,0.67759375,0.6711775,0.550541,0.830825,0.718508,0.636715,0.613836,0.550541,0.696329,0.830825,0.72797,0.646026,0.718508,,
spot_forest_hard_daac_depth_opt_mahalanobis_w100,10,0.5473656,0.5510005,0.52865,0.575073,0.52865,0.554156,0.529752,0.548687,0.554146,0.529863,0.570539,0.575073,0.553314,0.529476,0.52865
spot_forest_hard_daac_depth_opt_mahalanobis_w1000,10,0.5398407000000001,0.524659,0.503263,0.676081,0.514591,0.534281,0.552656,0.503263,0.523975,0.53073,0.519642,0.676081,0.525343,0.517845,0.514591
spot_forest_hard_daac_depth_opt_mahalanobis_w500,10,0.5283133999999999,0.528168,0.502553,0.554283,0.535907,0.540617,0.538589,0.536373,0.516521,0.554283,0.520143,0.520429,0.517719,0.502553,0.535907
spot_forest_hard_daac_depth_opt_w100,10,0.5184167,0.5185095,0.507044,0.528576,0.523916,0.520524,0.528576,0.517473,0.507044,0.525938,0.519546,0.51664,0.515736,0.508774,0.523916
spot_forest_hard_daac_depth_opt_w1000,10,0.5001359,0.497435,0.471159,0.541666,0.471159,0.532475,0.472878,0.472796,0.514375,0.478586,0.522554,0.49908,0.49579,0.541666,0.471159
spot_forest_hard_daac_depth_opt_w500,10,0.5189629,0.506731,0.489496,0.655872,0.506523,0.655872,0.494425,0.502034,0.489496,0.511005,0.511812,0.506939,0.51287,0.498653,0.506523
spot_forest_hard_daac_rgd_inv,10,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614,0.544614
spot_forest_hard_daac_rgd_metric,10,0.5620115,0.559417,0.559417,0.585362,0.559417,0.559417,0.559417,0.585362,0.559417,0.559417,0.559417,0.559417,0.559417,0.559417,0.559417
